date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:01:42	31020/31020	---M--	200	added ('OK')	image/png	etag:%22792c-5e9bef03ad9c0%22	https://themesflat.co/html/cyfoniihtml/assets/images/layouts/avt-01.png	C:/Users/SOC/Desktop/ammar/ammar/themesflat.co/html/cyfoniihtml/assets/images/layouts/avt-01.png	(from https://themesflat.co/html/cyfoniihtml/)
04:01:42	148738/148738	---M--	200	added ('OK')	image/png	etag:%2224502-5e9beefee8e80%22	https://themesflat.co/html/cyfoniihtml/assets/images/layouts/about-01.png	C:/Users/SOC/Desktop/ammar/ammar/themesflat.co/html/cyfoniihtml/assets/images/layouts/about-01.png	(from https://themesflat.co/html/cyfoniihtml/)
04:01:42	125822/125822	---M--	200	added ('OK')	image/png	etag:%221eb7e-5e9beeffdd0c0%22	https://themesflat.co/html/cyfoniihtml/assets/images/layouts/about-02.png	C:/Users/SOC/Desktop/ammar/ammar/themesflat.co/html/cyfoniihtml/assets/images/layouts/about-02.png	(from https://themesflat.co/html/cyfoniihtml/)
04:01:42	171692/171692	---M--	200	added ('OK')	image/png	etag:%2229eac-5e9bef00d1300%22	https://themesflat.co/html/cyfoniihtml/assets/images/layouts/about-03.png	C:/Users/SOC/Desktop/ammar/ammar/themesflat.co/html/cyfoniihtml/assets/images/layouts/about-03.png	(from https://themesflat.co/html/cyfoniihtml/)
04:01:43	122468/122468	---M--	200	added ('OK')	image/png	etag:%221de64-5e9bef01c5540%22	https://themesflat.co/html/cyfoniihtml/assets/images/layouts/about-04.png	C:/Users/SOC/Desktop/ammar/ammar/themesflat.co/html/cyfoniihtml/assets/images/layouts/about-04.png	(from https://themesflat.co/html/cyfoniihtml/)
04:01:43	94045/94045	---M--	200	added ('OK')	image/png	etag:%2216f5d-5e9bef02b9780%22	https://themesflat.co/html/cyfoniihtml/assets/images/layouts/about-05.png	C:/Users/SOC/Desktop/ammar/ammar/themesflat.co/html/cyfoniihtml/assets/images/layouts/about-05.png	(from https://themesflat.co/html/cyfoniihtml/)
04:01:43	104157/104157	---M--	200	added ('OK')	image/png	etag:%22196dd-5e9bef81902c0%22	https://themesflat.co/html/cyfoniihtml/assets/images/layouts/portfolio.png	C:/Users/SOC/Desktop/ammar/ammar/themesflat.co/html/cyfoniihtml/assets/images/layouts/portfolio.png	(from https://themesflat.co/html/cyfoniihtml/)
04:01:43	108779/108779	---M--	200	added ('OK')	image/png	etag:%221a8eb-5e9bef8284500%22	https://themesflat.co/html/cyfoniihtml/assets/images/layouts/project-01.png	C:/Users/SOC/Desktop/ammar/ammar/themesflat.co/html/cyfoniihtml/assets/images/layouts/project-01.png	(from https://themesflat.co/html/cyfoniihtml/)
04:01:44	182369/182369	---M--	200	added ('OK')	image/png	etag:%222c861-5e9bef8378740%22	https://themesflat.co/html/cyfoniihtml/assets/images/layouts/project-02.png	C:/Users/SOC/Desktop/ammar/ammar/themesflat.co/html/cyfoniihtml/assets/images/layouts/project-02.png	(from https://themesflat.co/html/cyfoniihtml/)
04:01:44	188788/188788	---M--	200	added ('OK')	image/png	etag:%222e174-5e9bef846c980%22	https://themesflat.co/html/cyfoniihtml/assets/images/layouts/project-03.png	C:/Users/SOC/Desktop/ammar/ammar/themesflat.co/html/cyfoniihtml/assets/images/layouts/project-03.png	(from https://themesflat.co/html/cyfoniihtml/)
04:01:44	200931/200931	---M--	200	added ('OK')	image/png	etag:%22310e3-5e9bef846c980%22	https://themesflat.co/html/cyfoniihtml/assets/images/layouts/project-04.png	C:/Users/SOC/Desktop/ammar/ammar/themesflat.co/html/cyfoniihtml/assets/images/layouts/project-04.png	(from https://themesflat.co/html/cyfoniihtml/)
04:01:44	95534/95534	---M--	200	added ('OK')	image/png	etag:%221752e-5e9befe4becc0%22	https://themesflat.co/html/cyfoniihtml/assets/images/layouts/project-05.png	C:/Users/SOC/Desktop/ammar/ammar/themesflat.co/html/cyfoniihtml/assets/images/layouts/project-05.png	(from https://themesflat.co/html/cyfoniihtml/)
04:01:44	69210/69210	---M--	200	added ('OK')	image/png	etag:%2210e5a-5e9dc61890580%22	https://themesflat.co/html/cyfoniihtml/assets/images/background/line.png	C:/Users/SOC/Desktop/ammar/ammar/themesflat.co/html/cyfoniihtml/assets/images/background/line.png	(from https://themesflat.co/html/cyfoniihtml/)
04:01:45	566248/566248	---M--	200	added ('OK')	image/png	etag:%228a3e8-5e9befe6a7140%22	https://themesflat.co/html/cyfoniihtml/assets/images/layouts/team-01.png	C:/Users/SOC/Desktop/ammar/ammar/themesflat.co/html/cyfoniihtml/assets/images/layouts/team-01.png	(from https://themesflat.co/html/cyfoniihtml/)
04:01:45	169313/169313	---M--	200	added ('OK')	image/png	etag:%2229561-5e9befe6a7140%22	https://themesflat.co/html/cyfoniihtml/assets/images/layouts/team-02.png	C:/Users/SOC/Desktop/ammar/ammar/themesflat.co/html/cyfoniihtml/assets/images/layouts/team-02.png	(from https://themesflat.co/html/cyfoniihtml/)
04:01:45	606195/606195	---M--	200	added ('OK')	image/png	etag:%2293ff3-5e9befe79b380%22	https://themesflat.co/html/cyfoniihtml/assets/images/layouts/team-03.png	C:/Users/SOC/Desktop/ammar/ammar/themesflat.co/html/cyfoniihtml/assets/images/layouts/team-03.png	(from https://themesflat.co/html/cyfoniihtml/)
04:01:45	375068/375068	---M--	200	added ('OK')	image/png	etag:%225b91c-5e9befe88f5c0%22	https://themesflat.co/html/cyfoniihtml/assets/images/layouts/team-04.png	C:/Users/SOC/Desktop/ammar/ammar/themesflat.co/html/cyfoniihtml/assets/images/layouts/team-04.png	(from https://themesflat.co/html/cyfoniihtml/)
04:01:46	2817/2817	---M--	200	added ('OK')	image/png	etag:%22b01-5e8a3e1f81b00%22	https://themesflat.co/html/cyfoniihtml/assets/images/logo/brand-01.png	C:/Users/SOC/Desktop/ammar/ammar/themesflat.co/html/cyfoniihtml/assets/images/logo/brand-01.png	(from https://themesflat.co/html/cyfoniihtml/)
04:01:46	2496/2496	---M--	200	added ('OK')	image/png	etag:%229c0-5e8a3e2dcfcc0%22	https://themesflat.co/html/cyfoniihtml/assets/images/logo/brand-02.png	C:/Users/SOC/Desktop/ammar/ammar/themesflat.co/html/cyfoniihtml/assets/images/logo/brand-02.png	(from https://themesflat.co/html/cyfoniihtml/)
04:01:46	3902/3902	---M--	200	added ('OK')	image/png	etag:%22f3e-5e8a3e58ba200%22	https://themesflat.co/html/cyfoniihtml/assets/images/logo/brand-03.png	C:/Users/SOC/Desktop/ammar/ammar/themesflat.co/html/cyfoniihtml/assets/images/logo/brand-03.png	(from https://themesflat.co/html/cyfoniihtml/)
04:01:46	2217/2217	---M--	200	added ('OK')	image/png	etag:%228a9-5e8a3e39417c0%22	https://themesflat.co/html/cyfoniihtml/assets/images/logo/brand-04.png	C:/Users/SOC/Desktop/ammar/ammar/themesflat.co/html/cyfoniihtml/assets/images/logo/brand-04.png	(from https://themesflat.co/html/cyfoniihtml/)
04:01:46	3377/3377	---M--	200	added ('OK')	image/png	etag:%22d31-5e8a3e45a7500%22	https://themesflat.co/html/cyfoniihtml/assets/images/logo/brand-05.png	C:/Users/SOC/Desktop/ammar/ammar/themesflat.co/html/cyfoniihtml/assets/images/logo/brand-05.png	(from https://themesflat.co/html/cyfoniihtml/)
04:01:47	2944/2944	---M--	200	added ('OK')	image/png	etag:%22b80-5e8a3e4e3c940%22	https://themesflat.co/html/cyfoniihtml/assets/images/logo/brand-06.png	C:/Users/SOC/Desktop/ammar/ammar/themesflat.co/html/cyfoniihtml/assets/images/logo/brand-06.png	(from https://themesflat.co/html/cyfoniihtml/)
